,BALANCE,BALANCE_FREQUENCY,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0,3.7135903348301276,0.818182,4.5591262474866845,4.5591262474866845,-2.3025850929940455,0.166667,0.0,-2.3025850929940455,0.7419373447293773,6.90785527398247,5.3077828472070765,4.938851295320716,0.0,12
1,8.071708084603182,0.909091,-2.3025850929940455,-2.3025850929940455,8.770756608402877,0.0,0.0,1.410986973710262,-2.3025850929940455,8.853679713649695,8.31950600900506,6.977691907523602,0.222222,12
2,7.822143747500065,1.0,6.650628276086816,-2.3025850929940455,-2.3025850929940455,1.0,1.0,-2.3025850929940455,2.4932054526026954,8.922671632768846,6.433208130768761,6.441560047773724,0.0,12
4,6.706635336512548,1.0,2.7788192719904172,-2.3025850929940455,-2.3025850929940455,0.083333,0.083333,-2.3025850929940455,0.09531017980432493,7.090160165637395,6.5197883257945515,5.500814181366116,0.0,12
5,7.501042759396688,1.0,7.195472350821432,7.195472350821432,-2.3025850929940455,0.666667,0.0,-2.3025850929940455,2.0918640616783932,7.495597497896659,7.24434020211113,7.786280189394643,0.0,12
6,6.441521823291985,1.0,8.86659716580531,6.53448626909029,-2.3025850929940455,1.0,1.0,-2.3025850929940455,4.160444363926624,9.510452371806494,8.756905020131942,5.289104528380273,1.0,12
7,7.50865160387973,1.0,6.078330080129564,6.078330080129564,-2.3025850929940455,1.0,0.0,-2.3025850929940455,2.4932054526026954,7.740707879232958,6.520864223192652,6.276895318532268,0.0,12
8,6.922669972909163,1.0,6.75877951946099,5.2988172415896875,-2.3025850929940455,0.333333,0.083333,-2.3025850929940455,1.62924053973028,8.853679713649695,6.534338930790567,5.743206401134615,0.0,12
9,5.026022796901862,0.545455,7.155942600735778,-2.3025850929940455,-2.3025850929940455,0.166667,0.166667,-2.3025850929940455,1.1314021114911006,9.305659642648276,7.0603652791431895,4.609184736884313,0.0,12
10,7.164894330385405,1.0,6.8246127718907434,6.8246127718907434,-2.3025850929940455,1.0,0.0,-2.3025850929940455,2.4932054526026954,7.090160165637395,6.987860452704629,7.683770908737191,0.0,12
11,6.447139040386284,0.818182,7.308060430716674,-2.3025850929940455,-2.3025850929940455,0.25,0.25,-2.3025850929940455,1.8082887711792655,7.600952458292124,6.559216612727167,5.0476039155012735,0.0,12
12,7.324508845353824,1.0,8.076543294843031,6.576274563963545,-2.3025850929940455,1.0,0.25,-2.3025850929940455,3.261935314328648,8.006400900428037,6.41077287582956,6.195031752042555,0.25,12
13,6.8263210867261455,1.0,7.667640123291971,7.44895684676653,-2.3025850929940455,0.75,0.166667,-2.3025850929940455,3.261935314328648,8.922671632768846,7.412155162830381,5.526400641314598,0.083333,12
14,7.927639149863702,1.0,-2.3025850929940455,-2.3025850929940455,5.849069387106336,0.0,0.0,0.09531017980432493,-2.3025850929940455,8.006400900428037,6.691771006264834,6.897768442122633,0.0,12
15,8.837291130955698,1.0,7.3851068458904106,7.3851068458904106,7.741356017913143,0.5,0.0,1.410986973710262,2.4069451083182885,8.98720932058385,7.59766686916055,7.654446302294765,0.0,12
16,7.636353747522554,0.875,-2.3025850929940455,-2.3025850929940455,7.931778603992502,0.0,0.0,1.1314021114911006,-2.3025850929940455,8.006400900428037,5.971452030886663,5.931395041030042,0.0,8
17,3.7181831024472674,0.454545,6.252096542833184,6.252096542833184,-2.3025850929940455,0.416667,0.0,-2.3025850929940455,2.0918640616783932,7.824086010056313,5.5400497185728375,4.294604550628382,0.25,12
18,7.595473865351608,1.0,6.223468726854389,5.824376370954616,-2.3025850929940455,0.666667,0.083333,-2.3025850929940455,2.2082744135228043,9.47271232872178,7.450624405659812,6.612999439663737,0.0,12
19,8.182579088634593,1.0,5.9883095754146805,5.9883095754146805,-2.3025850929940455,1.0,0.0,-2.3025850929940455,2.4932054526026954,8.294074639789534,6.960424067743417,9.430732090870249,0.0,12
20,7.6092597826279045,1.0,5.174906021632802,5.174906021632802,-2.3025850929940455,0.666667,0.0,-2.3025850929940455,2.0918640616783932,7.600952458292124,5.407927539607071,9.514687600593195,0.0,12
21,8.759296869026228,1.0,8.757791517938486,6.109269804739678,5.434281868634594,1.0,0.916667,1.8082887711792655,4.522874943261261,9.328132296481948,7.639189588483514,7.414497622494616,0.0,12
22,4.886146625855256,0.636364,6.704414354964107,6.704414354964107,-2.3025850929940455,1.0,0.0,-2.3025850929940455,2.8390784635086144,7.495597497896659,7.766302466896393,4.459329677505948,0.0,12
23,8.242822495368646,0.818182,8.354309489514746,6.676944912606895,8.984006189256782,1.0,0.083333,2.5726122302071057,2.5726122302071057,9.10499096736774,9.156849279145375,7.2622965156857475,0.0,12
24,8.588335711631887,1.0,-2.3025850929940455,-2.3025850929940455,6.6834233505775025,0.0,0.0,1.410986973710262,-2.3025850929940455,8.699531414737972,7.2604008106318965,7.412826101799832,0.0,11
25,5.135102188843368,1.0,5.990714265717278,5.990714265717278,-2.3025850929940455,1.0,0.0,-2.3025850929940455,2.4932054526026954,8.006400900428037,5.37252527870759,5.094397451417585,0.0,12
26,7.387750847126305,1.0,4.625952725170619,-2.3025850929940455,5.501015262667934,0.166667,0.166667,1.62924053973028,0.7419373447293773,7.438442351843683,6.791534722643938,6.8786180931179155,0.0,12
27,4.8346521430996185,1.0,5.452668026377961,5.452668026377961,-2.3025850929940455,1.0,0.0,-2.3025850929940455,2.4932054526026954,6.90785527398247,5.336930755894467,5.105028805403513,0.0,12
28,8.875282147248782,1.0,5.958812214832733,5.207297968160868,7.712553514753605,0.666667,0.166667,2.7788192719904172,2.0918640616783932,9.259140059909788,7.37872615716676,7.407894816363228,0.0,12
29,3.098446340453411,1.0,4.6061696863211745,4.6061696863211745,-2.3025850929940455,0.416667,0.0,-2.3025850929940455,1.62924053973028,8.839291183233955,5.0805827418302965,5.073825669393461,0.0,12
30,9.403957885216096,1.0,8.018990890531823,7.613280534108512,8.065794076250894,1.0,0.166667,2.312535423847214,4.160444363926624,9.47271232872178,8.350057383104694,8.099285503470819,0.0,12
31,7.058219162921851,1.0,7.2062363319830345,6.854154060226932,5.170005215668872,1.0,0.083333,0.7419373447293773,3.8088822465086327,8.699531414737972,6.470951657841261,5.5488775865965145,0.0,12
32,8.814764661775703,1.0,5.783979016650478,-2.3025850929940455,7.081400768146252,0.083333,0.083333,1.1314021114911006,1.1314021114911006,9.259140059909788,7.450206815199833,7.8267804153624505,0.0,12
33,4.834378930773646,1.0,6.456596956202087,-2.3025850929940455,-2.3025850929940455,0.916667,0.916667,-2.3025850929940455,2.4069451083182885,7.090160165637395,6.048670853134415,5.280162993633981,0.3,12
34,8.165420956961126,0.727273,6.305143259585438,6.305143259585438,-2.3025850929940455,1.0,0.0,-2.3025850929940455,2.6461747973841225,9.305659642648276,9.075174253629642,9.790467684900038,0.0,12
35,7.412432508651373,1.0,-2.3025850929940455,-2.3025850929940455,4.598793568507584,0.0,0.0,0.09531017980432493,-2.3025850929940455,7.495597497896659,5.862494731794935,6.453104093166118,0.0,12
36,8.912901111405976,1.0,-2.3025850929940455,-2.3025850929940455,9.090821773777055,0.0,0.0,2.4069451083182885,-2.3025850929940455,9.10499096736774,7.400291629565735,7.5943528616760085,0.0,11
